Parametro,Fecha,Hora,Concentraciones horarias,Unidad
SO2,04/01/2024,20:00 - 21:00,0.0055,ppm
SO2,04/01/2024,21:00 - 22:00,0.0046,ppm
SO2,04/01/2024,22:00 - 23:00,0.0041,ppm
SO2,05/01/2024,23:00 - 0:00,0.0035,ppm
SO2,05/01/2024,0:00 - 1:00,0.0032,ppm
SO2,05/01/2024,1:00 - 2:00,0.0032,ppm
SO2,05/01/2024,2:00 - 3:00,0.0032,ppm
SO2,05/01/2024,3:00 - 4:00,0.0032,ppm
SO2,05/01/2024,4:00 - 5:00,0.0029,ppm
SO2,05/01/2024,5:00 - 6:00,0.0029,ppm
SO2,05/01/2024,6:00 - 7:00,0.0039,ppm
SO2,05/01/2024,7:00 - 8:00,0.0037,ppm
SO2,05/01/2024,8:00 - 9:00,0.0043,ppm
SO2,05/01/2024,9:00 - 10:00,0.004,ppm
SO2,05/01/2024,10:00 - 11:00,0.0038,ppm
SO2,05/01/2024,11:00 - 12:00,0.0041,ppm
SO2,05/01/2024,12:00 - 13:00,0.0042,ppm
SO2,05/01/2024,13:00 - 14:00,0.0036,ppm
SO2,05/01/2024,14:00 - 15:00,0.0033,ppm
SO2,05/01/2024,15:00 - 16:00,0.0032,ppm
SO2,05/01/2024,16:00 - 17:00,0.0032,ppm
SO2,05/01/2024,17:00 - 18:00,0.004,ppm
SO2,05/01/2024,18:00 - 19:00,0.0052,ppm
SO2,05/01/2024,19:00 - 20:00,0.0036,ppm
SO2,05/01/2024,20:00 - 21:00,0.0034,ppm
SO2,05/01/2024,21:00 - 22:00,0.0033,ppm
SO2,05/01/2024,22:00 - 23:00,0.0035,ppm
SO2,06/01/2024,23:00 - 0:00,0.0037,ppm
SO2,06/01/2024,0:00 - 1:00,0.0032,ppm
SO2,06/01/2024,1:00 - 2:00,0.0032,ppm
SO2,06/01/2024,2:00 - 3:00,0.0033,ppm
SO2,06/01/2024,3:00 - 4:00,0.0035,ppm
SO2,06/01/2024,4:00 - 5:00,0.0034,ppm
SO2,06/01/2024,5:00 - 6:00,0.004,ppm
SO2,06/01/2024,6:00 - 7:00,0.0042,ppm
SO2,06/01/2024,7:00 - 8:00,0.0043,ppm
SO2,06/01/2024,8:00 - 9:00,0.0051,ppm
SO2,06/01/2024,9:00 - 10:00,0.0115,ppm
SO2,06/01/2024,10:00 - 11:00,0.0077,ppm
SO2,06/01/2024,11:00 - 12:00,0.0153,ppm
SO2,06/01/2024,12:00 - 13:00,0.0098,ppm
SO2,06/01/2024,13:00 - 14:00,0.0084,ppm
SO2,06/01/2024,14:00 - 15:00,0.0113,ppm
SO2,06/01/2024,15:00 - 16:00,0.0227,ppm
SO2,06/01/2024,16:00 - 17:00,0.0311,ppm
SO2,06/01/2024,17:00 - 18:00,0.0256,ppm
SO2,06/01/2024,18:00 - 19:00,0.0162,ppm
SO2,06/01/2024,19:00 - 20:00,0.0056,ppm
SO2,06/01/2024,20:00 - 21:00,0.0042,ppm
SO2,06/01/2024,21:00 - 22:00,0.0036,ppm
SO2,06/01/2024,22:00 - 23:00,0.0039,ppm
SO2,07/01/2024,23:00 - 0:00,0.0041,ppm
SO2,07/01/2024,0:00 - 1:00,0.0038,ppm
SO2,07/01/2024,1:00 - 2:00,0.0095,ppm
SO2,07/01/2024,2:00 - 3:00,0.0126,ppm
SO2,07/01/2024,3:00 - 4:00,0.0083,ppm
SO2,07/01/2024,4:00 - 5:00,0.0043,ppm
SO2,07/01/2024,6:00 - 7:00,0.0038,ppm
SO2,07/01/2024,7:00 - 8:00,0.0043,ppm
SO2,07/01/2024,8:00 - 9:00,0.0038,ppm
SO2,07/01/2024,9:00 - 10:00,0.0043,ppm
SO2,07/01/2024,10:00 - 11:00,0.004,ppm
SO2,07/01/2024,11:00 - 12:00,0.0059,ppm
SO2,07/01/2024,12:00 - 13:00,0.0082,ppm
SO2,07/01/2024,13:00 - 14:00,0.0058,ppm
SO2,07/01/2024,14:00 - 15:00,0.0064,ppm
SO2,07/01/2024,15:00 - 16:00,0.005,ppm
SO2,07/01/2024,16:00 - 17:00,0.0064,ppm
SO2,07/01/2024,17:00 - 18:00,0.0046,ppm
SO2,07/01/2024,18:00 - 19:00,0.0046,ppm
SO2,07/01/2024,19:00 - 20:00,0.0047,ppm
SO2,07/01/2024,20:00 - 21:00,0.006,ppm
SO2,07/01/2024,21:00 - 22:00,0.007,ppm
SO2,07/01/2024,22:00 - 23:00,0.0088,ppm
SO2,08/01/2024,23:00 - 0:00,0.0073,ppm
SO2,08/01/2024,0:00 - 1:00,0.0057,ppm
SO2,08/01/2024,1:00 - 2:00,0.0041,ppm
SO2,08/01/2024,2:00 - 3:00,0.0036,ppm
SO2,08/01/2024,3:00 - 4:00,0.0033,ppm
SO2,08/01/2024,4:00 - 5:00,0.0034,ppm
SO2,08/01/2024,5:00 - 6:00,0.0037,ppm
SO2,08/01/2024,6:00 - 7:00,0.0039,ppm
SO2,08/01/2024,7:00 - 8:00,0.0044,ppm
SO2,08/01/2024,8:00 - 9:00,0.0047,ppm
SO2,08/01/2024,9:00 - 10:00,0.005,ppm
SO2,08/01/2024,10:00 - 11:00,0.0066,ppm
SO2,08/01/2024,11:00 - 12:00,0.0067,ppm
SO2,08/01/2024,12:00 - 13:00,0.0071,ppm
SO2,08/01/2024,13:00 - 14:00,0.0067,ppm
SO2,08/01/2024,14:00 - 15:00,0.0071,ppm
SO2,08/01/2024,15:00 - 16:00,0.0041,ppm
SO2,08/01/2024,16:00 - 17:00,0.0038,ppm
SO2,08/01/2024,17:00 - 18:00,0.0051,ppm
SO2,08/01/2024,18:00 - 19:00,0.0033,ppm
SO2,08/01/2024,19:00 - 20:00,0.0027,ppm
SO2,08/01/2024,20:00 - 21:00,0.0026,ppm
SO2,08/01/2024,21:00 - 22:00,0.0026,ppm
SO2,08/01/2024,22:00 - 23:00,0.0028,ppm
SO2,09/01/2024,23:00 - 0:00,0.0032,ppm
SO2,09/01/2024,0:00 - 1:00,0.0048,ppm
SO2,09/01/2024,1:00 - 2:00,0.0027,ppm
SO2,09/01/2024,2:00 - 3:00,0.0026,ppm
SO2,09/01/2024,3:00 - 4:00,0.0025,ppm
SO2,09/01/2024,4:00 - 5:00,0.0025,ppm
SO2,09/01/2024,5:00 - 6:00,0.0038,ppm
SO2,09/01/2024,6:00 - 7:00,0.0033,ppm
SO2,09/01/2024,7:00 - 8:00,0.0034,ppm
SO2,09/01/2024,8:00 - 9:00,0.0053,ppm
SO2,09/01/2024,9:00 - 10:00,0.0047,ppm
SO2,09/01/2024,10:00 - 11:00,0.0043,ppm
SO2,09/01/2024,11:00 - 12:00,0.0047,ppm
SO2,09/01/2024,12:00 - 13:00,0.0051,ppm
SO2,09/01/2024,13:00 - 14:00,0.0044,ppm
SO2,09/01/2024,14:00 - 15:00,0.004,ppm
SO2,09/01/2024,15:00 - 16:00,0.004,ppm
SO2,09/01/2024,16:00 - 17:00,0.0038,ppm
SO2,09/01/2024,17:00 - 18:00,0.0037,ppm
SO2,09/01/2024,18:00 - 19:00,0.0038,ppm
SO2,09/01/2024,19:00 - 20:00,0.0038,ppm
SO2,09/01/2024,20:00 - 21:00,0.0036,ppm
SO2,09/01/2024,21:00 - 22:00,0.0069,ppm
SO2,09/01/2024,22:00 - 23:00,0.0042,ppm
SO2,10/01/2024,23:00 - 0:00,0.004,ppm
SO2,10/01/2024,0:00 - 1:00,0.0039,ppm
SO2,10/01/2024,1:00 - 2:00,0.0039,ppm
SO2,10/01/2024,2:00 - 3:00,0.0037,ppm
SO2,10/01/2024,3:00 - 4:00,0.0037,ppm
SO2,10/01/2024,4:00 - 5:00,0.0038,ppm
SO2,10/01/2024,5:00 - 6:00,0.0041,ppm
SO2,10/01/2024,6:00 - 7:00,0.0064,ppm
SO2,10/01/2024,7:00 - 8:00,0.0089,ppm
SO2,10/01/2024,8:00 - 9:00,0.0066,ppm
SO2,10/01/2024,9:00 - 10:00,0.0062,ppm
SO2,10/01/2024,10:00 - 11:00,0.0058,ppm
SO2,10/01/2024,11:00 - 12:00,0.0051,ppm
SO2,10/01/2024,12:00 - 13:00,0.0046,ppm
SO2,10/01/2024,13:00 - 14:00,0.0043,ppm
SO2,10/01/2024,14:00 - 15:00,0.0046,ppm
SO2,10/01/2024,15:00 - 16:00,0.0058,ppm
SO2,10/01/2024,16:00 - 17:00,0.0056,ppm
