Parametro,Fecha,Hora,Concentraciones horarias,Unidad
CO,25/01/2024,16:00 - 17:00,2.71,ppm
CO,25/01/2024,17:00 - 18:00,2.55,ppm
CO,25/01/2024,18:00 - 19:00,2.8,ppm
CO,25/01/2024,19:00 - 20:00,2.71,ppm
CO,25/01/2024,20:00 - 21:00,2.6,ppm
CO,25/01/2024,21:00 - 22:00,2.48,ppm
CO,25/01/2024,22:00 - 23:00,2.52,ppm
CO,26/01/2024,23:00 - 0:00,2.63,ppm
CO,26/01/2024,0:00 - 1:00,2.37,ppm
CO,26/01/2024,1:00 - 2:00,2.38,ppm
CO,26/01/2024,2:00 - 3:00,2.4,ppm
CO,26/01/2024,3:00 - 4:00,2.01,ppm
CO,26/01/2024,4:00 - 5:00,2.05,ppm
CO,26/01/2024,5:00 - 6:00,2.3,ppm
CO,26/01/2024,6:00 - 7:00,2.43,ppm
CO,26/01/2024,7:00 - 8:00,2.69,ppm
CO,26/01/2024,8:00 - 9:00,2.89,ppm
CO,26/01/2024,9:00 - 10:00,2.96,ppm
CO,26/01/2024,10:00 - 11:00,2.53,ppm
CO,26/01/2024,11:00 - 12:00,2.46,ppm
CO,26/01/2024,12:00 - 13:00,2.48,ppm
CO,26/01/2024,13:00 - 14:00,2.57,ppm
CO,26/01/2024,14:00 - 15:00,2.71,ppm
CO,26/01/2024,15:00 - 16:00,2.63,ppm
CO,26/01/2024,16:00 - 17:00,2.57,ppm
CO,26/01/2024,17:00 - 18:00,2.89,ppm
CO,26/01/2024,18:00 - 19:00,3.02,ppm
CO,26/01/2024,19:00 - 20:00,3.09,ppm
CO,26/01/2024,20:00 - 21:00,2.92,ppm
CO,26/01/2024,21:00 - 22:00,2.87,ppm
CO,26/01/2024,22:00 - 23:00,2.28,ppm
CO,27/01/2024,23:00 - 0:00,2.11,ppm
CO,27/01/2024,0:00 - 1:00,2.05,ppm
CO,27/01/2024,1:00 - 2:00,2.06,ppm
CO,27/01/2024,2:00 - 3:00,1.98,ppm
CO,27/01/2024,3:00 - 4:00,1.98,ppm
CO,27/01/2024,4:00 - 5:00,2.07,ppm
CO,27/01/2024,5:00 - 6:00,2.04,ppm
CO,27/01/2024,6:00 - 7:00,2.15,ppm
CO,27/01/2024,7:00 - 8:00,2.23,ppm
CO,27/01/2024,8:00 - 9:00,2.29,ppm
CO,27/01/2024,9:00 - 10:00,2.31,ppm
CO,27/01/2024,10:00 - 11:00,2.26,ppm
CO,27/01/2024,11:00 - 12:00,2.25,ppm
CO,27/01/2024,12:00 - 13:00,2.29,ppm
CO,27/01/2024,13:00 - 14:00,2.28,ppm
CO,27/01/2024,14:00 - 15:00,2.24,ppm
CO,27/01/2024,15:00 - 16:00,2.27,ppm
CO,27/01/2024,16:00 - 17:00,2.31,ppm
CO,27/01/2024,17:00 - 18:00,2.34,ppm
CO,27/01/2024,18:00 - 19:00,2.52,ppm
CO,27/01/2024,19:00 - 20:00,2.42,ppm
CO,27/01/2024,20:00 - 21:00,2.43,ppm
CO,27/01/2024,21:00 - 22:00,2.37,ppm
CO,27/01/2024,22:00 - 23:00,2.42,ppm
CO,28/01/2024,23:00 - 0:00,2.4,ppm
CO,28/01/2024,0:00 - 1:00,2.32,ppm
CO,28/01/2024,1:00 - 2:00,2.36,ppm
CO,28/01/2024,2:00 - 3:00,2.3,ppm
CO,28/01/2024,3:00 - 4:00,2.21,ppm
CO,28/01/2024,4:00 - 5:00,2.2,ppm
CO,28/01/2024,5:00 - 6:00,2.22,ppm
CO,28/01/2024,6:00 - 7:00,2.27,ppm
CO,28/01/2024,7:00 - 8:00,2.34,ppm
CO,28/01/2024,8:00 - 9:00,2.52,ppm
CO,28/01/2024,9:00 - 10:00,2.31,ppm
CO,28/01/2024,10:00 - 11:00,2.11,ppm
CO,28/01/2024,11:00 - 12:00,2.3,ppm
CO,28/01/2024,12:00 - 13:00,2.38,ppm
CO,28/01/2024,13:00 - 14:00,2.32,ppm
CO,28/01/2024,14:00 - 15:00,2.28,ppm
CO,28/01/2024,15:00 - 16:00,2.36,ppm
CO,28/01/2024,16:00 - 17:00,2.37,ppm
CO,28/01/2024,17:00 - 18:00,2.38,ppm
CO,28/01/2024,18:00 - 19:00,2.47,ppm
CO,28/01/2024,19:00 - 20:00,2.65,ppm
CO,28/01/2024,20:00 - 21:00,2.58,ppm
CO,28/01/2024,21:00 - 22:00,2.69,ppm
CO,28/01/2024,22:00 - 23:00,2.79,ppm
CO,29/01/2024,23:00 - 0:00,2.97,ppm
CO,29/01/2024,0:00 - 1:00,2.41,ppm
CO,29/01/2024,1:00 - 2:00,2.34,ppm
CO,29/01/2024,2:00 - 3:00,2.47,ppm
CO,29/01/2024,3:00 - 4:00,2.37,ppm
CO,29/01/2024,4:00 - 5:00,2.26,ppm
CO,29/01/2024,5:00 - 6:00,2.33,ppm
CO,29/01/2024,6:00 - 7:00,2.61,ppm
CO,29/01/2024,7:00 - 8:00,3,ppm
CO,29/01/2024,8:00 - 9:00,3.54,ppm
CO,29/01/2024,9:00 - 10:00,2.63,ppm
CO,29/01/2024,10:00 - 11:00,2.58,ppm
CO,29/01/2024,11:00 - 12:00,2.44,ppm
CO,29/01/2024,12:00 - 13:00,2.38,ppm
CO,29/01/2024,13:00 - 14:00,2.45,ppm
CO,29/01/2024,14:00 - 15:00,2.34,ppm
CO,29/01/2024,15:00 - 16:00,2.45,ppm
CO,29/01/2024,16:00 - 17:00,2.54,ppm
CO,29/01/2024,17:00 - 18:00,2.67,ppm
CO,29/01/2024,18:00 - 19:00,2.95,ppm
CO,29/01/2024,19:00 - 20:00,2.95,ppm
CO,29/01/2024,20:00 - 21:00,2.7,ppm
CO,29/01/2024,21:00 - 22:00,2.97,ppm
CO,29/01/2024,22:00 - 23:00,3.1,ppm
CO,30/01/2024,23:00 - 0:00,2.69,ppm
CO,30/01/2024,0:00 - 1:00,2.33,ppm
CO,30/01/2024,1:00 - 2:00,2.29,ppm
CO,30/01/2024,2:00 - 3:00,2.14,ppm
CO,30/01/2024,3:00 - 4:00,2.17,ppm
CO,30/01/2024,4:00 - 5:00,2.19,ppm
CO,30/01/2024,5:00 - 6:00,2.27,ppm
CO,30/01/2024,6:00 - 7:00,2.39,ppm
CO,30/01/2024,7:00 - 8:00,2.76,ppm
CO,30/01/2024,8:00 - 9:00,3.26,ppm
CO,30/01/2024,9:00 - 10:00,2.62,ppm
CO,30/01/2024,10:00 - 11:00,2.33,ppm
CO,30/01/2024,11:00 - 12:00,2.38,ppm
CO,30/01/2024,12:00 - 13:00,2.5,ppm
CO,30/01/2024,13:00 - 14:00,2.49,ppm
CO,30/01/2024,14:00 - 15:00,2.47,ppm
CO,30/01/2024,15:00 - 16:00,2.51,ppm
CO,30/01/2024,16:00 - 17:00,2.6,ppm
CO,30/01/2024,17:00 - 18:00,2.63,ppm
CO,30/01/2024,18:00 - 19:00,2.81,ppm
CO,30/01/2024,19:00 - 20:00,2.72,ppm
CO,30/01/2024,20:00 - 21:00,3.07,ppm
CO,30/01/2024,21:00 - 22:00,3.07,ppm
CO,30/01/2024,22:00 - 23:00,3.25,ppm
CO,31/01/2024,23:00 - 0:00,3.03,ppm
CO,31/01/2024,0:00 - 1:00,2.76,ppm
CO,31/01/2024,1:00 - 2:00,2.29,ppm
CO,31/01/2024,2:00 - 3:00,2.26,ppm
CO,31/01/2024,3:00 - 4:00,2.31,ppm
CO,31/01/2024,4:00 - 5:00,2.31,ppm
CO,31/01/2024,5:00 - 6:00,2.47,ppm
CO,31/01/2024,6:00 - 7:00,2.84,ppm
CO,31/01/2024,7:00 - 8:00,3.34,ppm
CO,31/01/2024,8:00 - 9:00,3.44,ppm
CO,31/01/2024,9:00 - 10:00,2.49,ppm
CO,31/01/2024,10:00 - 11:00,2.36,ppm
CO,31/01/2024,11:00 - 12:00,2.51,ppm
CO,31/01/2024,12:00 - 13:00,2.55,ppm
CO,31/01/2024,13:00 - 14:00,2.64,ppm
CO,31/01/2024,14:00 - 15:00,2.49,ppm
CO,31/01/2024,15:00 - 16:00,2.67,ppm
CO,31/01/2024,16:00 - 17:00,2.72,ppm
CO,31/01/2024,17:00 - 18:00,2.76,ppm
CO,31/01/2024,18:00 - 19:00,2.82,ppm
CO,31/01/2024,19:00 - 20:00,2.76,ppm
CO,31/01/2024,20:00 - 21:00,2.49,ppm
CO,31/01/2024,21:00 - 22:00,2.7,ppm
CO,31/01/2024,22:00 - 23:00,2.58,ppm
CO,01/02/2024,0:00 - 1:00,2.31,ppm
CO,01/02/2024,1:00 - 2:00,2.14,ppm
CO,01/02/2024,2:00 - 3:00,2.03,ppm
CO,01/02/2024,3:00 - 4:00,2.02,ppm
CO,01/02/2024,4:00 - 5:00,2.03,ppm
CO,01/02/2024,5:00 - 6:00,2.29,ppm
CO,01/02/2024,6:00 - 7:00,2.49,ppm
CO,01/02/2024,7:00 - 8:00,2.6,ppm
CO,01/02/2024,8:00 - 9:00,2.58,ppm
CO,01/02/2024,9:00 - 10:00,2.88,ppm
CO,01/02/2024,10:00 - 11:00,2.83,ppm
CO,01/02/2024,11:00 - 12:00,2.65,ppm
CO,01/02/2024,12:00 - 13:00,2.5,ppm
CO,01/02/2024,13:00 - 14:00,2.54,ppm
CO,01/02/2024,14:00 - 15:00,2.45,ppm
CO,01/02/2024,15:00 - 16:00,2.4,ppm
CO,01/02/2024,16:00 - 17:00,2.5,ppm
CO,01/02/2024,17:00 - 18:00,2.58,ppm
CO,01/02/2024,18:00 - 19:00,2.97,ppm
CO,01/02/2024,19:00 - 20:00,2.85,ppm
CO,01/02/2024,20:00 - 21:00,2.73,ppm
CO,01/02/2024,21:00 - 22:00,2.76,ppm
CO,01/02/2024,22:00 - 23:00,2.75,ppm
CO,02/02/2024,23:00 - 0:00,2.56,ppm
CO,02/02/2024,0:00 - 1:00,2.22,ppm
CO,02/02/2024,1:00 - 2:00,2.2,ppm
CO,02/02/2024,2:00 - 3:00,2.22,ppm
CO,02/02/2024,3:00 - 4:00,2.23,ppm
CO,02/02/2024,4:00 - 5:00,2.34,ppm
CO,02/02/2024,5:00 - 6:00,2.38,ppm
CO,02/02/2024,6:00 - 7:00,2.72,ppm
CO,02/02/2024,7:00 - 8:00,3,ppm
CO,02/02/2024,8:00 - 9:00,3.14,ppm
CO,02/02/2024,9:00 - 10:00,3.28,ppm
CO,02/02/2024,10:00 - 11:00,3.08,ppm
CO,02/02/2024,11:00 - 12:00,3.21,ppm
CO,02/02/2024,12:00 - 13:00,3.74,ppm
CO,02/02/2024,13:00 - 14:00,3.2,ppm
CO,02/02/2024,14:00 - 15:00,2.91,ppm
CO,02/02/2024,15:00 - 16:00,2.71,ppm
CO,02/02/2024,16:00 - 17:00,2.84,ppm
CO,02/02/2024,17:00 - 18:00,2.98,ppm
CO,02/02/2024,18:00 - 19:00,3.11,ppm
CO,02/02/2024,19:00 - 20:00,2.95,ppm
CO,02/02/2024,20:00 - 21:00,3.16,ppm
CO,02/02/2024,21:00 - 22:00,2.78,ppm
CO,02/02/2024,22:00 - 23:00,2.78,ppm
CO,03/02/2024,23:00 - 0:00,2.61,ppm
CO,03/02/2024,0:00 - 1:00,2.97,ppm
CO,03/02/2024,1:00 - 2:00,2.9,ppm
CO,03/02/2024,2:00 - 3:00,3.18,ppm
CO,03/02/2024,3:00 - 4:00,2.31,ppm
CO,03/02/2024,4:00 - 5:00,2.25,ppm
CO,03/02/2024,5:00 - 6:00,2.35,ppm
CO,03/02/2024,6:00 - 7:00,2.28,ppm
CO,03/02/2024,7:00 - 8:00,2.57,ppm
CO,03/02/2024,8:00 - 9:00,2.48,ppm
CO,03/02/2024,9:00 - 10:00,2.32,ppm
CO,03/02/2024,10:00 - 11:00,2.28,ppm
CO,03/02/2024,11:00 - 12:00,2.31,ppm
CO,03/02/2024,12:00 - 13:00,2.26,ppm
CO,03/02/2024,13:00 - 14:00,2.31,ppm
CO,03/02/2024,14:00 - 15:00,2.33,ppm
CO,03/02/2024,15:00 - 16:00,2.34,ppm
CO,03/02/2024,16:00 - 17:00,2.38,ppm
CO,03/02/2024,17:00 - 18:00,2.36,ppm
CO,03/02/2024,18:00 - 19:00,2.44,ppm
CO,03/02/2024,19:00 - 20:00,2.65,ppm
CO,03/02/2024,20:00 - 21:00,2.88,ppm
CO,03/02/2024,21:00 - 22:00,2.84,ppm
CO,03/02/2024,22:00 - 23:00,3.11,ppm
CO,04/02/2024,23:00 - 0:00,2.9,ppm
CO,04/02/2024,0:00 - 1:00,2.64,ppm
CO,04/02/2024,1:00 - 2:00,2.79,ppm
CO,04/02/2024,2:00 - 3:00,2.47,ppm
CO,04/02/2024,3:00 - 4:00,2.38,ppm
CO,04/02/2024,4:00 - 5:00,2.35,ppm
CO,04/02/2024,5:00 - 6:00,2.41,ppm
CO,04/02/2024,6:00 - 7:00,2.64,ppm
CO,04/02/2024,7:00 - 8:00,2.78,ppm
CO,04/02/2024,8:00 - 9:00,2.52,ppm
CO,04/02/2024,9:00 - 10:00,2.37,ppm
CO,04/02/2024,10:00 - 11:00,2.34,ppm
CO,04/02/2024,11:00 - 12:00,2.29,ppm
CO,04/02/2024,12:00 - 13:00,2.28,ppm
CO,04/02/2024,13:00 - 14:00,2.28,ppm
CO,04/02/2024,14:00 - 15:00,1.92,ppm
CO,04/02/2024,15:00 - 16:00,2.73,ppm
CO,04/02/2024,16:00 - 17:00,2.77,ppm
CO,04/02/2024,17:00 - 18:00,2.71,ppm
CO,04/02/2024,18:00 - 19:00,2.83,ppm
CO,04/02/2024,19:00 - 20:00,2.91,ppm
CO,04/02/2024,20:00 - 21:00,2.72,ppm
CO,04/02/2024,21:00 - 22:00,2.68,ppm
CO,04/02/2024,22:00 - 23:00,2.79,ppm
CO,05/02/2024,23:00 - 0:00,2.62,ppm
CO,05/02/2024,0:00 - 1:00,2.57,ppm
CO,05/02/2024,1:00 - 2:00,2.52,ppm
CO,05/02/2024,2:00 - 3:00,2.51,ppm
CO,05/02/2024,3:00 - 4:00,2.59,ppm
CO,05/02/2024,4:00 - 5:00,2.56,ppm
CO,05/02/2024,5:00 - 6:00,2.57,ppm
CO,05/02/2024,6:00 - 7:00,2.64,ppm
CO,05/02/2024,7:00 - 8:00,2.6,ppm
CO,05/02/2024,8:00 - 9:00,2.51,ppm
CO,05/02/2024,9:00 - 10:00,2.52,ppm
CO,05/02/2024,10:00 - 11:00,2.56,ppm
CO,05/02/2024,11:00 - 12:00,2.51,ppm
CO,05/02/2024,12:00 - 13:00,2.55,ppm
CO,05/02/2024,13:00 - 14:00,2.62,ppm
CO,05/02/2024,14:00 - 15:00,2.56,ppm
CO,05/02/2024,15:00 - 16:00,2.55,ppm
CO,05/02/2024,16:00 - 17:00,2.61,ppm
CO,05/02/2024,17:00 - 18:00,2.67,ppm
CO,05/02/2024,18:00 - 19:00,2.82,ppm
CO,05/02/2024,19:00 - 20:00,2.86,ppm
CO,05/02/2024,20:00 - 21:00,2.57,ppm
CO,05/02/2024,21:00 - 22:00,2.52,ppm
CO,05/02/2024,22:00 - 23:00,2.52,ppm
CO,06/02/2024,23:00 - 0:00,2.53,ppm
CO,06/02/2024,0:00 - 1:00,2.45,ppm
CO,06/02/2024,1:00 - 2:00,2.45,ppm
CO,06/02/2024,2:00 - 3:00,2.51,ppm
CO,06/02/2024,3:00 - 4:00,2.51,ppm
CO,06/02/2024,4:00 - 5:00,2.51,ppm
CO,06/02/2024,5:00 - 6:00,2.71,ppm
CO,06/02/2024,6:00 - 7:00,3.33,ppm
CO,06/02/2024,8:00 - 9:00,3.15,ppm
CO,06/02/2024,9:00 - 10:00,3.19,ppm
CO,06/02/2024,10:00 - 11:00,2.97,ppm
CO,06/02/2024,11:00 - 12:00,2.81,ppm
CO,06/02/2024,12:00 - 13:00,2.77,ppm
CO,06/02/2024,13:00 - 14:00,2.8,ppm
CO,06/02/2024,14:00 - 15:00,2.72,ppm
CO,06/02/2024,15:00 - 16:00,2.84,ppm
CO,06/02/2024,16:00 - 17:00,2.79,ppm
CO,06/02/2024,17:00 - 18:00,2.88,ppm
CO,06/02/2024,18:00 - 19:00,3.15,ppm
CO,06/02/2024,19:00 - 20:00,3.14,ppm
CO,06/02/2024,20:00 - 21:00,3.39,ppm
CO,06/02/2024,21:00 - 22:00,3.17,ppm
CO,06/02/2024,22:00 - 23:00,3.12,ppm
CO,07/02/2024,23:00 - 0:00,2.71,ppm
CO,07/02/2024,0:00 - 1:00,2.74,ppm
CO,07/02/2024,1:00 - 2:00,2.8,ppm
CO,07/02/2024,2:00 - 3:00,2.69,ppm
CO,07/02/2024,3:00 - 4:00,2.6,ppm
CO,07/02/2024,4:00 - 5:00,2.56,ppm
CO,07/02/2024,5:00 - 6:00,2.71,ppm
CO,07/02/2024,6:00 - 7:00,3.09,ppm
CO,07/02/2024,7:00 - 8:00,3.33,ppm
CO,07/02/2024,8:00 - 9:00,3.11,ppm
CO,07/02/2024,9:00 - 10:00,2.9,ppm
CO,07/02/2024,10:00 - 11:00,2.89,ppm
CO,07/02/2024,11:00 - 12:00,2.8,ppm
CO,07/02/2024,12:00 - 13:00,2.83,ppm
CO,07/02/2024,13:00 - 14:00,2.84,ppm
CO,07/02/2024,14:00 - 15:00,2.92,ppm
CO,07/02/2024,15:00 - 16:00,2.93,ppm
CO,07/02/2024,16:00 - 17:00,2.88,ppm
CO,07/02/2024,17:00 - 18:00,2.91,ppm
CO,07/02/2024,18:00 - 19:00,3.47,ppm
CO,07/02/2024,19:00 - 20:00,4.22,ppm
CO,07/02/2024,20:00 - 21:00,4.73,ppm
CO,07/02/2024,21:00 - 22:00,4.41,ppm
CO,07/02/2024,22:00 - 23:00,4.42,ppm
CO,08/02/2024,23:00 - 0:00,3.11,ppm
CO,08/02/2024,0:00 - 1:00,2.57,ppm
CO,08/02/2024,1:00 - 2:00,2.67,ppm
CO,08/02/2024,2:00 - 3:00,2.72,ppm
CO,08/02/2024,3:00 - 4:00,3.04,ppm
CO,08/02/2024,4:00 - 5:00,3.06,ppm
CO,08/02/2024,5:00 - 6:00,2.82,ppm
CO,08/02/2024,6:00 - 7:00,3.02,ppm
CO,08/02/2024,7:00 - 8:00,3.25,ppm
CO,08/02/2024,8:00 - 9:00,3.77,ppm
CO,08/02/2024,9:00 - 10:00,4.23,ppm
CO,08/02/2024,10:00 - 11:00,3.31,ppm
CO,08/02/2024,11:00 - 12:00,2.75,ppm
CO,08/02/2024,12:00 - 13:00,2.69,ppm
CO,08/02/2024,13:00 - 14:00,2.72,ppm
CO,08/02/2024,14:00 - 15:00,2.73,ppm
CO,08/02/2024,15:00 - 16:00,2.79,ppm
CO,08/02/2024,16:00 - 17:00,2.93,ppm
CO,08/02/2024,17:00 - 18:00,3.14,ppm
CO,08/02/2024,18:00 - 19:00,3.33,ppm
CO,08/02/2024,19:00 - 20:00,3.12,ppm
CO,08/02/2024,20:00 - 21:00,3.05,ppm
CO,08/02/2024,21:00 - 22:00,2.89,ppm
CO,08/02/2024,22:00 - 23:00,3.04,ppm
CO,09/02/2024,23:00 - 0:00,3.18,ppm
CO,09/02/2024,0:00 - 1:00,2.96,ppm
CO,09/02/2024,1:00 - 2:00,3.01,ppm
CO,09/02/2024,2:00 - 3:00,2.56,ppm
CO,09/02/2024,3:00 - 4:00,2.59,ppm
CO,09/02/2024,4:00 - 5:00,2.99,ppm
CO,09/02/2024,5:00 - 6:00,3.15,ppm
CO,09/02/2024,6:00 - 7:00,3.77,ppm
CO,09/02/2024,7:00 - 8:00,5.25,ppm
CO,09/02/2024,8:00 - 9:00,7.04,ppm
CO,09/02/2024,9:00 - 10:00,4.23,ppm
CO,09/02/2024,10:00 - 11:00,3.41,ppm
CO,09/02/2024,11:00 - 12:00,2.95,ppm
CO,09/02/2024,12:00 - 13:00,2.88,ppm
CO,09/02/2024,13:00 - 14:00,3.08,ppm
CO,09/02/2024,14:00 - 15:00,2.9,ppm
CO,09/02/2024,15:00 - 16:00,2.97,ppm
CO,09/02/2024,16:00 - 17:00,3.22,ppm
CO,09/02/2024,17:00 - 18:00,3.2,ppm
CO,09/02/2024,18:00 - 19:00,3.17,ppm
CO,09/02/2024,19:00 - 20:00,3.39,ppm
CO,09/02/2024,20:00 - 21:00,3.25,ppm
CO,09/02/2024,21:00 - 22:00,3.26,ppm
CO,09/02/2024,22:00 - 23:00,3.25,ppm
CO,10/02/2024,23:00 - 0:00,2.91,ppm
CO,10/02/2024,0:00 - 1:00,3.04,ppm
CO,10/02/2024,1:00 - 2:00,2.44,ppm
CO,10/02/2024,2:00 - 3:00,2.55,ppm
CO,10/02/2024,3:00 - 4:00,2.4,ppm
CO,10/02/2024,4:00 - 5:00,2.5,ppm
CO,10/02/2024,5:00 - 6:00,3.01,ppm
CO,10/02/2024,6:00 - 7:00,2.99,ppm
CO,10/02/2024,7:00 - 8:00,3.29,ppm
CO,10/02/2024,8:00 - 9:00,3.24,ppm
CO,10/02/2024,9:00 - 10:00,3.65,ppm
CO,10/02/2024,10:00 - 11:00,3.6,ppm
CO,10/02/2024,11:00 - 12:00,3.14,ppm
CO,10/02/2024,12:00 - 13:00,2.98,ppm
CO,10/02/2024,13:00 - 14:00,2.95,ppm
CO,10/02/2024,14:00 - 15:00,2.99,ppm
CO,10/02/2024,15:00 - 16:00,3.02,ppm
CO,10/02/2024,16:00 - 17:00,3.07,ppm
CO,10/02/2024,17:00 - 18:00,3.12,ppm
CO,10/02/2024,18:00 - 19:00,3.39,ppm
CO,10/02/2024,19:00 - 20:00,3.11,ppm
CO,10/02/2024,20:00 - 21:00,3.02,ppm
CO,10/02/2024,21:00 - 22:00,3,ppm
CO,10/02/2024,22:00 - 23:00,2.85,ppm
CO,11/02/2024,23:00 - 0:00,2.91,ppm
CO,11/02/2024,0:00 - 1:00,3.2,ppm
CO,11/02/2024,1:00 - 2:00,3.25,ppm
CO,11/02/2024,2:00 - 3:00,3.33,ppm
CO,11/02/2024,3:00 - 4:00,3.25,ppm
CO,11/02/2024,4:00 - 5:00,2.88,ppm
CO,11/02/2024,5:00 - 6:00,2.74,ppm
CO,11/02/2024,6:00 - 7:00,2.67,ppm
CO,11/02/2024,7:00 - 8:00,2.91,ppm
CO,11/02/2024,8:00 - 9:00,2.67,ppm
CO,11/02/2024,9:00 - 10:00,2.5,ppm
CO,11/02/2024,10:00 - 11:00,2.5,ppm
CO,11/02/2024,11:00 - 12:00,2.57,ppm
CO,11/02/2024,12:00 - 13:00,2.53,ppm
CO,11/02/2024,13:00 - 14:00,2.51,ppm
CO,11/02/2024,14:00 - 15:00,2.54,ppm
CO,11/02/2024,15:00 - 16:00,2.57,ppm
CO,11/02/2024,16:00 - 17:00,2.58,ppm
CO,11/02/2024,17:00 - 18:00,2.74,ppm
CO,11/02/2024,18:00 - 19:00,2.85,ppm
CO,11/02/2024,19:00 - 20:00,2.75,ppm
CO,11/02/2024,20:00 - 21:00,2.65,ppm
CO,11/02/2024,21:00 - 22:00,2.57,ppm
CO,11/02/2024,22:00 - 23:00,2.61,ppm
CO,12/02/2024,23:00 - 0:00,2.62,ppm
CO,12/02/2024,0:00 - 1:00,2.56,ppm
CO,12/02/2024,1:00 - 2:00,2.48,ppm
CO,12/02/2024,2:00 - 3:00,2.49,ppm
CO,12/02/2024,3:00 - 4:00,2.52,ppm
CO,12/02/2024,4:00 - 5:00,2.57,ppm
CO,12/02/2024,5:00 - 6:00,2.54,ppm
CO,12/02/2024,6:00 - 7:00,2.61,ppm
CO,12/02/2024,7:00 - 8:00,2.78,ppm
CO,12/02/2024,8:00 - 9:00,2.84,ppm
CO,12/02/2024,9:00 - 10:00,2.76,ppm
CO,12/02/2024,10:00 - 11:00,2.79,ppm
CO,12/02/2024,11:00 - 12:00,2.73,ppm
CO,12/02/2024,12:00 - 13:00,2.75,ppm
CO,12/02/2024,13:00 - 14:00,2.73,ppm
CO,12/02/2024,14:00 - 15:00,2.65,ppm
CO,12/02/2024,15:00 - 16:00,2.81,ppm
CO,12/02/2024,16:00 - 17:00,2.91,ppm
CO,12/02/2024,17:00 - 18:00,3.05,ppm
CO,12/02/2024,18:00 - 19:00,3.13,ppm
CO,12/02/2024,19:00 - 20:00,3.11,ppm
CO,12/02/2024,20:00 - 21:00,3.14,ppm
CO,12/02/2024,21:00 - 22:00,3.06,ppm
CO,12/02/2024,22:00 - 23:00,3,ppm
CO,13/02/2024,23:00 - 0:00,2.79,ppm
CO,13/02/2024,0:00 - 1:00,2.67,ppm
CO,13/02/2024,1:00 - 2:00,2.83,ppm
CO,13/02/2024,2:00 - 3:00,2.84,ppm
CO,13/02/2024,3:00 - 4:00,2.72,ppm
CO,13/02/2024,4:00 - 5:00,2.73,ppm
CO,13/02/2024,5:00 - 6:00,2.85,ppm
CO,13/02/2024,6:00 - 7:00,3.19,ppm
CO,13/02/2024,7:00 - 8:00,3.55,ppm
CO,13/02/2024,8:00 - 9:00,3.65,ppm
CO,13/02/2024,9:00 - 10:00,3.49,ppm
CO,13/02/2024,10:00 - 11:00,3.34,ppm
CO,13/02/2024,11:00 - 12:00,3.04,ppm
CO,13/02/2024,12:00 - 13:00,3.09,ppm
CO,13/02/2024,13:00 - 14:00,3.06,ppm
CO,13/02/2024,14:00 - 15:00,2.93,ppm
CO,13/02/2024,15:00 - 16:00,2.84,ppm
CO,13/02/2024,16:00 - 17:00,2.98,ppm
CO,13/02/2024,18:00 - 19:00,3.18,ppm
CO,13/02/2024,19:00 - 20:00,3.05,ppm
CO,13/02/2024,20:00 - 21:00,2.93,ppm
CO,13/02/2024,21:00 - 22:00,2.7,ppm
CO,13/02/2024,22:00 - 23:00,2.63,ppm
CO,14/02/2024,23:00 - 0:00,2.66,ppm
CO,14/02/2024,0:00 - 1:00,2.76,ppm
CO,14/02/2024,1:00 - 2:00,2.5,ppm
CO,14/02/2024,2:00 - 3:00,2.44,ppm
CO,14/02/2024,3:00 - 4:00,2.38,ppm
CO,14/02/2024,4:00 - 5:00,2.45,ppm
CO,14/02/2024,5:00 - 6:00,2.5,ppm
CO,14/02/2024,6:00 - 7:00,2.78,ppm
CO,14/02/2024,7:00 - 8:00,2.9,ppm
CO,14/02/2024,8:00 - 9:00,3.07,ppm
CO,14/02/2024,9:00 - 10:00,2.98,ppm
CO,14/02/2024,10:00 - 11:00,3.02,ppm
CO,14/02/2024,11:00 - 12:00,3,ppm
CO,14/02/2024,12:00 - 13:00,2.76,ppm
CO,14/02/2024,13:00 - 14:00,2.87,ppm
CO,14/02/2024,14:00 - 15:00,2.82,ppm
CO,14/02/2024,15:00 - 16:00,2.91,ppm
CO,14/02/2024,16:00 - 17:00,2.96,ppm
CO,14/02/2024,17:00 - 18:00,3.23,ppm
CO,14/02/2024,18:00 - 19:00,3.13,ppm
CO,14/02/2024,19:00 - 20:00,3.22,ppm
CO,14/02/2024,20:00 - 21:00,3.39,ppm
CO,14/02/2024,21:00 - 22:00,3.5,ppm
CO,14/02/2024,22:00 - 23:00,3.77,ppm
CO,15/02/2024,23:00 - 0:00,4.09,ppm
CO,15/02/2024,0:00 - 1:00,4.04,ppm
CO,15/02/2024,1:00 - 2:00,3.87,ppm
CO,15/02/2024,2:00 - 3:00,4.11,ppm
CO,15/02/2024,3:00 - 4:00,3.26,ppm
CO,15/02/2024,4:00 - 5:00,2.76,ppm
CO,15/02/2024,5:00 - 6:00,2.77,ppm
CO,15/02/2024,6:00 - 7:00,3.02,ppm
CO,15/02/2024,7:00 - 8:00,3.74,ppm
CO,15/02/2024,8:00 - 9:00,3.68,ppm
CO,15/02/2024,9:00 - 10:00,3.59,ppm
CO,15/02/2024,10:00 - 11:00,3.46,ppm
CO,15/02/2024,11:00 - 12:00,3.16,ppm
CO,15/02/2024,12:00 - 13:00,3.03,ppm
CO,15/02/2024,13:00 - 14:00,2.93,ppm
